# locator.tsv — Saul's fast resolver. Generated by build_index.py on 2026-06-06.
# Look up ONE line: awk -F'\t' '$1=="OR"' register/locator.tsv  (portable exact match; BSD grep
# has no -P). Never Read the whole file. Columns are TAB-separated.
# seed=1 -> file ships in this repo (offline). ranges = article-number BASES present as headings
# (e.g. base 269 covers 269a..). A base absent from ranges = not in this copy: say so and stop
# without reading (no claim/quote made). A base present still needs the file opened to confirm the
# exact article and quote it (Law 2) — every quote comes from a read; not every absence does.
abbrev	sr	file	rank	Stand	status	seed	arts	max	ranges
StV	641.101	cc-1974-33_33_33.md	verordnung	2023-09-01	in_force	0	23	32	1,3-10,12,16-17,19-22,24-28,31-32
StromVG	734.7	cc-2007-418.md	bundesgesetz	2026-04-01	in_force	0	36	34	1-6,8-34
StromVV	734.71	cc-2008-226.md	andere	2026-01-01	in_force	0	6	7	1-3,5-7
SuG	616.1	cc-1991-857_857_857.md	bundesgesetz	2023-02-13	in_force	0	38	43	1-7,9-15,17-32,36-43
TAFV 1	741.412	cc-1995-4145_4145_4145.md	verordnung	2026-01-01	in_force	0	0	0	-
TAFV 2	741.413	cc-2016-821.md	verordnung	2026-01-01	in_force	0	10	10	1-10
TAFV 3	741.414	cc-2016-822.md	verordnung	2026-01-01	in_force	0	10	10	1-10
TAMV	812.212.27	cc-2004-592.md	verordnung	2025-11-25	in_force	0	23	30	1-11,13,17-18,21-27,29-30
TBDV	817.022.11	cc-2017-153.md	verordnung	2026-01-01	in_force	0	17	17	1-17
TEVG	312.4	cc-2004-468.md	bundesgesetz	2023-01-23	in_force	0	25	93	1-9,11-18,38-39,52,59,74,93
TGBV	211.432.11	cc-2013-3.md	andere	2024-01-01	in_force	0	27	27	1-27
TGDV	916.403	cc-2020-802.md	verordnung	2020-12-01	in_force	0	27	27	1-27
TGV	741.511	cc-1995-3997_3997_3997.md	verordnung	2026-01-01	in_force	0	2	2	1-2
THG	946.51	cc-1996-1725_1725_1725.md	bundesgesetz	2023-09-01	in_force	0	3	3	1-3
TMmV	941.231	cc-2023-559.md	verordnung	2024-01-01	in_force	0	15	16	1-5,7-16
TPFV	641.316	cc-2020-499.md	verordnung	2024-10-01	in_force	0	29	29	1-29
TSG	916.40	cc-1966-1565_1621_1604.md	bundesgesetz	2023-09-01	in_force	0	32	61	1-3,5,7-8,12,17-19,21,23,27,29,31-32,34-36,44-45,49-51,53-56,58-59,61
TSV	916.401	cc-1995-3716_3716_3716.md	andere	2026-11-01	in_force	0	6	6	1-6
TSchAV	455.109.1	cc-2008-609.md	verordnung	2025-02-01	in_force	0	1	1	1
TSchG	455	cc-2008-414.md	bundesgesetz	2023-09-01	in_force	0	43	46	1-6,8-12,16-24,26,28-30,32-46
TSchV	455.1	cc-2008-416.md	andere	2027-02-01	in_force	0	2	2	1-2
TStG	641.31	cc-1969-645_665_663.md	bundesgesetz	2025-01-01	in_force	0	28	48	2-11,13-19,21-24,28-29,31,39,44,46,48
TStV	641.311	cc-2009-677.md	verordnung	2024-10-01	in_force	0	45	46	1-28,30-46
TUG	784.11	cc-1997-2480_2480_2480.md	bundesgesetz	2021-01-01	in_force	0	52	119	1-29,32,35-36,42,48,53,57-58,62,65,104,112,119
TVAV	211.432.21	cc-1994-1864_1864_1864.md	andere	2008-07-01	in_force	0	5	7	1,3,5-7
TVSV	742.123	cc-2020-402.md	verordnung	2021-01-01	in_force	0	6	7	1-3,5-7
TZV	916.310	cc-2025-723.md	verordnung	2026-01-01	in_force	0	82	87	1-32,34,37-38,41-87
TabPG	818.32	cc-2024-457.md	bundesgesetz	2024-10-01	in_force	0	51	51	1-51
TabPV	818.321	cc-2024-491.md	verordnung	2024-10-01	in_force	0	50	50	1-50
TabV	817.06	cc-2004-688.md	verordnung	2019-09-15	in_force	0	0	0	-
ToG	231.2	cc-1993-1828_1828_1828.md	bundesgesetz	2025-07-01	in_force	0	19	21	1-11,13-16,18-21
ToV	231.21	cc-1993-1834_1834_1834.md	verordnung	2025-07-01	in_force	0	14	20	1-2,4-10,12-13,15,17,20
TrG	744.21	cc-1951-665_663_685.md	bundesgesetz	2020-07-01	in_force	0	15	20	1-3,7,9-10,12-20
TwwV	451.37	cc-2010-38.md	verordnung	2025-12-01	in_force	0	19	20	1-2,4-20
UEG	930.31	cc-2024-118.md	bundesgesetz	2024-10-01	in_force	0	15	22	4,9-22
UEV	954.195.1	cc-2008-745.md	verordnung	2016-01-01	in_force	0	67	72	1-5,7-17,19-32,34-44,47-72
UFiO	0.923.411	cc-1978-1755_1754_1754.md	andere	2024-01-01	in_force	0	0	0	-
UGüTG	749.1	cc-2022-373.md	bundesgesetz	2023-09-01	in_force	0	42	43	1-36,38-43
UIDG	431.03	cc-2010-705.md	bundesgesetz	2023-09-01	in_force	0	3	3	1-3
UIDV	431.031	cc-2011-81.md	verordnung	2023-09-01	in_force	0	30	27	1-27
URG	231.1	cc-1993-1798_1798_1798.md	bundesgesetz	2025-07-01	in_force	0	79	84	1-33,35,37-63,66-69,71,73-74,76,78-84
URV	231.11	cc-1993-1821_1821_1821.md	verordnung	2025-07-01	in_force	0	23	23	1,3-4,6,9-10,12-17,19-20,22-23
USG	814.01	cc-1984-1122_1122_1122.md	bundesgesetz	2026-04-01	in_force	0	6	7	1-5,7
UVG	832.20	cc-1982-1676_1676_1676.md	bundesgesetz	2026-01-01	in_force	0	61	95	1-17,19-21,23-35,37,45-46,48,54,56-57,59,61,68-70,72-73,76-77,79-86,88,91,93,95
UVPV	814.011	cc-1988-1931_1931_1931.md	verordnung	2025-01-01	in_force	0	20	25	2-6,9-11,13-21,23,25
UVV	832.202	cc-1983-38_38_38.md	verordnung	2026-01-01	in_force	0	17	23	2-8,10-14,17,20-23
UWG	241	cc-1988-223_223_223.md	bundesgesetz	2025-01-01	in_force	0	3	3	1-3
UraM	814.554	cc-2017-509.md	verordnung	2018-01-30	in_force	0	69	69	1-69
V Mil Pers	172.220.111.310.2	cc-2024-751.md	verordnung	2025-01-01	in_force	0	48	49	1-37,39-49
V-ASG	195.11	cc-2015-654.md	verordnung	2024-12-15	in_force	0	78	78	1-78
V-FIFG	420.11	cc-2013-814.md	verordnung	2026-02-01	in_force	0	56	64	1-4,6,8-27,29-30,33-36,39-43,45-49,51-64
V-FIFG-WBF	420.111	cc-2013-815.md	verordnung	2023-01-01	in_force	0	15	18	1-2,6-18
V-GSG	192.121	cc-2007-861.md	verordnung	2019-01-01	in_force	0	19	20	1-16,18-20
V-HFKG	414.201	cc-2016-741.md	verordnung	2026-01-01	in_force	0	69	69	1-56,58-69
V-LTDB	172.010.331	cc-2009-420.md	verordnung	2023-08-01	in_force	0	9	9	1-9
V-NDA	510.291	cc-2009-851.md	verordnung	2023-09-01	in_force	0	15	18	1-12,16-18
V-NISSG	814.711	cc-2019-183.md	verordnung	2022-08-31	in_force	0	30	30	1-30
V-NQR-BB	412.105.1	cc-2014-488.md	verordnung	2014-10-01	in_force	0	13	13	1-13
V-SQWI	414.205.8	cc-2024-740.md	verordnung	2025-01-01	in_force	0	23	23	1-23
V-Schliko-ETH	172.327.11	cc-2020-12.md	verordnung	2020-03-01	in_force	0	10	10	1-10
V-StGB-MSt	311.01	cc-2006-693.md	verordnung	2025-07-01	in_force	0	23	22	1-22
VABFP	748.222.1	cc-2021-63.md	verordnung	2025-09-08	in_force	0	73	73	1-73
VABK	281.33	cc-1996-2895_2895_2895.md	verordnung	1997-01-01	in_force	0	7	7	1-7
VABUA	512.413	cc-2015-831.md	verordnung	2016-01-01	in_force	0	11	11	1-11
VAEW	721.821	cc-1995-4856_4856_4856.md	verordnung	2008-01-01	in_force	0	20	20	1-20
VAF	741.59	cc-2025-50.md	verordnung	2026-01-01	in_force	0	51	53	1-28,30-41,43-53
VAG	961.01	cc-2005-734.md	bundesgesetz	2024-09-01	in_force	0	72	91	1-25,27,30-46,49,55,57-60,62-69,71-77,79-80,84-85,88-91
VAI	510.511	cc-2021-234.md	verordnung	2021-06-01	in_force	0	7	7	1-7
VAK	512.43	cc-2017-812.md	verordnung	2022-11-10	in_force	0	9	9	1-9
VAM	812.212.21	cc-2018-588.md	verordnung	2026-01-01	in_force	0	89	90	1-53,55-90
VAMF	941.210.3	cc-2011-296.md	verordnung	2024-10-01	in_force	0	11	11	1-11
VAMV	941.242	cc-2006-251.md	verordnung	2021-04-15	in_force	0	15	14	1-5,7-10,12-14
VAN	734.713.3	cc-2008-798.md	verordnung	2019-06-01	in_force	0	14	14	1-14
VAND	121.3	cc-2017-497.md	verordnung	2024-01-01	in_force	0	17	17	1-17
VAPF	748.222.3	cc-2016-696.md	verordnung	2017-01-01	in_force	0	11	11	1-11
VAPK	732.143.1	cc-2006-377.md	verordnung	2023-09-01	in_force	0	42	42	1-42
VASA	814.681	cc-2008-670.md	verordnung	2016-01-01	in_force	0	20	21	1-17,19-21
VASR	221.432	cc-2012-812.md	verordnung	2024-03-01	in_force	0	4	4	1-4
VASm	747.201.3	cc-2015-731.md	verordnung	2020-12-08	in_force	0	2	2	1-2
VATPE	512.26	cc-1999-225.md	verordnung	2023-01-01	in_force	0	11	11	1-11
VATT	512.38	cc-2003-584.md	verordnung	2025-08-01	in_force	0	28	31	3-4,6-15,17-19,21-27,29-31
VATV	512.30	cc-2003-683.md	verordnung	2020-01-01	in_force	0	19	21	1-16,19-21
VATV-VBS	512.301	cc-2019-748.md	verordnung	2020-01-01	in_force	0	14	14	1-14
VAU	946.32	cc-2012-393.md	verordnung	2022-01-01	in_force	0	23	23	1-23
VAV	211.432.2	cc-1992-2446_2446_2446.md	verordnung	2024-01-01	in_force	0	43	58	1-2,4-5,11-19,21-28,31,33-38,40,42-48,50-54,56,58
VAV-VBS	211.432.21	cc-2023-530.md	verordnung	2024-01-01	in_force	0	33	33	1-33
VAZV	812.212.23	cc-2006-558.md	verordnung	2024-07-01	in_force	0	3	4	1,3-4
VAböV	151.342	cc-2016-234.md	verordnung	2024-07-01	in_force	0	22	22	1-22
VAmFD	512.271.1	cc-2022-214.md	verordnung	2022-07-01	in_force	0	54	54	1-54
VAusb	512.15	cc-2003-678.md	verordnung	2020-01-01	in_force	0	12	15	1-10,15
VAusb-VBS	512.151	cc-2003-679.md	verordnung	2020-01-01	in_force	0	15	16	1-11,13-16
VAwG	143.11	cc-2002-468.md	verordnung	2023-09-01	in_force	0	42	62	1,3-8,11,20-23,25-26,28-43,46-49,53-55,57,59-62
VBB	211.412.110	cc-1993-2904_2904_2904.md	verordnung	2018-04-01	in_force	0	6	8	1,3-4,6-8
VBBo	814.12	cc-1998-1854_1854_1854.md	verordnung	2025-08-01	in_force	0	13	15	1-6,8-12,14-15
VBGA	152.11	cc-1999-371.md	verordnung	2026-01-01	in_force	0	28	28	1-28
VBGF	923.01	cc-1993-3384_3384_3384.md	verordnung	2021-01-01	in_force	0	14	13	1-2,4-11,13
VBGÖ	152.31	cc-2006-356.md	verordnung	2023-11-01	in_force	0	23	23	1-23
VBKV	531.711	cc-1986-812_812_812.md	verordnung	2021-08-01	in_force	0	19	25	1-6,9-13,17-18,20-25
VBLN	451.11	cc-2017-290.md	verordnung	2017-06-01	in_force	0	13	13	1-13
VBNIB	172.010.442	cc-2012-160.md	verordnung	2024-01-01	in_force	0	17	17	1-17
VBO	814.076	cc-1990-1086_1086_1086.md	verordnung	2025-01-01	in_force	0	3	5	2-3,5
VBO-ÜPF	780.112	cc-2018-33.md	verordnung	2018-03-01	in_force	0	14	14	1-14
VBP	813.12	cc-2005-468.md	verordnung	2025-12-01	in_force	0	0	0	-
VBPO	919.117.72	cc-2002-703.md	verordnung	2026-01-01	in_force	0	17	17	1-17
VBPV	172.220.111.31	cc-2001-485.md	verordnung	2027-01-01	in_force	0	22	40	1-6,9-13,17,19-20,24,26-27,34,36-38,40
VBPV-EDA	172.220.111.343.3	cc-2002-427.md	verordnung	2025-05-01	in_force	0	88	162	1,3,9,13-24,34-40,51,56,58-64,67,71,74-79,82-83,85-86,89-91,94-100,107-111,113-115,117,122-123,125-129,131,133-134,136-137,139-142,144-149,157,159,162
VBR I	748.127.1	cc-1973-1919_1919_1919.md	verordnung	2014-02-01	in_force	0	0	0	-
VBRK	732.13	cc-2006-376.md	verordnung	2009-01-01	in_force	0	12	9	1-9
VBSTB	520.17	cc-2018-162.md	verordnung	2023-01-01	in_force	0	16	16	1-16
VBSV	128.41	cc-2023-737.md	verordnung	2024-01-01	in_force	0	27	27	1-27
VBV	818.102.4	cc-2021-411.md	verordnung	2021-07-01	in_force	0	19	20	1-18,20
VBVA	510.30	cc-1949-1093_1185_1137.md	verordnung	2018-01-01	in_force	0	24	167	1-2,6-7,9-11,15,23,28-31,33-37,39,42-43,88,98,167
VBVV	211.223.11	cc-2023-486.md	verordnung	2024-01-01	in_force	0	14	14	1-14
VBWK	732.143.2	cc-2006-378.md	verordnung	2023-09-01	in_force	0	21	21	1-21
VCITES	453.0	cc-2013-601.md	verordnung	2023-09-01	in_force	0	60	60	1-60
VD-ÜPF	780.117	cc-2018-35.md	verordnung	2026-06-01	in_force	0	28	28	1-28
VDA	513.111	cc-2017-219.md	verordnung	2026-01-01	in_force	0	4	4	1-4
VDPS	935.412	cc-2015-530.md	verordnung	2024-01-01	in_force	0	12	12	1-12
VDPV-EDI	832.102.2	cc-2012-828.md	verordnung	2020-07-01	in_force	0	10	10	1-10
VDSG	235.11	cc-1993-1962_1962_1962.md	verordnung	2012-10-16	in_force	0	23	38	1-3,8-10,12-14,21-22,25-26,30-34,36-38
VDSZ	235.13	cc-2022-569.md	verordnung	2023-09-01	in_force	0	14	14	1-14
VDTI	172.010.58	cc-2020-988.md	verordnung	2024-07-01	in_force	0	37	37	1-37
VDZV	810.122.2	cc-2007-134.md	verordnung	2023-08-01	in_force	0	23	23	1-23
VEAF	748.222.0	cc-2021-23.md	verordnung	2021-02-01	in_force	0	8	8	1-8
VEAGOG	916.121.10	cc-1998-3244_3244_3244.md	verordnung	2024-03-01	in_force	0	10	26	4-6,10,15-16,20,22,24,26
VEBMP	412.103.11	cc-2022-303.md	verordnung	2022-10-01	in_force	0	25	25	1-25
VEE-PLS	730.022.2	cc-2025-470.md	verordnung	2026-01-01	in_force	0	8	8	1-8
VEE-PW	730.022.2	cc-2020-522.md	verordnung	2021-01-01	in_force	0	8	8	1-8
VEJ	922.31	cc-1991-2304_2304_2304.md	verordnung	2025-02-01	in_force	0	18	19	1-2,4-19
VEKF	510.292	cc-2012-638.md	verordnung	2024-01-01	in_force	0	16	16	1-16
VEL	748.215.3	cc-2009-431.md	verordnung	2015-07-15	in_force	0	10	10	1-10
VEMV	734.5	cc-2016-18.md	verordnung	2022-01-01	in_force	0	2	2	1-2
VEMZ	272.2	cc-2024-577.md	verordnung	2025-01-01	in_force	0	12	12	1-12
VES	124	cc-2015-435.md	verordnung	2015-10-20	in_force	0	16	16	1-16
VETHBK	414.110.21	cc-2021-604.md	verordnung	2025-05-01	in_force	0	25	25	1-25
VEV	142.204	cc-2018-493.md	verordnung	2026-04-08	in_force	0	8	8	1-8
VEVERA	235.22	cc-2016-487.md	verordnung	2026-04-01	in_force	0	18	18	1-18
VEZL	832.103	cc-2013-471.md	verordnung	2019-07-01	in_force	0	8	8	1-8
VEleS	161.116	cc-2022-336.md	verordnung	2022-07-01	in_force	0	17	18	1-16,18
VFAI	512.271.5	cc-2018-774.md	verordnung	2024-02-08	in_force	0	13	14	2-14
VFAL	748.03	cc-2018-656.md	verordnung	2019-01-01	in_force	0	14	14	1-14
VFAV	784.101.21	cc-2016-307.md	verordnung	2026-01-01	in_force	0	11	11	1-11
VFB-B	814.812.33	cc-2025-795.md	verordnung	2026-01-01	in_force	0	17	19	1-15,18-19
VFB-DB	814.812.31	cc-2025-793.md	verordnung	2026-01-01	in_force	0	18	20	1-16,19-20
VFB-G	814.812.39	cc-2022-867.md	verordnung	2027-01-01	in_force	0	12	12	1-12
VFB-H	814.812.37	cc-2005-504.md	verordnung	2015-07-01	in_force	0	11	13	1-9,11,13
VFB-K	814.812.38	cc-2005-505.md	verordnung	2020-03-01	in_force	0	12	13	1-11,13
VFB-L	814.812.34	cc-2022-864.md	verordnung	2027-01-01	in_force	0	13	13	1-13
VFB-LG	814.812.34	cc-2005-501.md	verordnung	2015-07-01	in_force	0	13	14	1-11,13-14
VFB-S	814.812.32	cc-2025-794.md	verordnung	2026-01-01	in_force	0	19	20	1-16,18-20
VFB-SB	814.812.35	cc-2005-502.md	verordnung	2015-07-01	in_force	0	12	13	1-11,13
VFB-W	814.812.36	cc-2005-503.md	verordnung	2015-07-01	in_force	0	12	13	1-11,13
VFBF	514.31	cc-2005-163.md	verordnung	2024-04-01	in_force	0	22	30	1-8,10-13,15-18,21,24-25,28-30
VFD	748.222.5	cc-1976-79_79_79.md	verordnung	2012-05-15	in_force	0	16	24	1,3,9-15,19-24
VFP	142.203	cc-2002-261.md	verordnung	2026-01-01	in_force	0	25	39	1-2,4,9,12,15-23,25-26,28-29,33-39
VFRR	281.31	cc-1996-2877_2877_2877.md	verordnung	2016-01-01	in_force	0	19	19	1-19
VFSD	748.132.1	cc-1996-595_595_595.md	verordnung	2024-08-01	in_force	0	46	43	7,9,11-17,19-26,28-43
VFV	831.111	cc-1961-419_429_439.md	verordnung	2025-01-01	in_force	0	3	26	17,19,26
VFlaW	941.212	cc-2006-247.md	verordnung	2021-01-01	in_force	0	12	13	2-13
VG	170.32	cc-1958-1413_1483_1489.md	bundesgesetz	2027-01-01	in_force	0	26	27	1-3,5-9,11-13,15-20,22-27
VGD	513.72	cc-1997-2144_2144_2144.md	verordnung	1997-10-01	in_force	0	11	11	1-11
VGKE	173.320.2	cc-2008-321.md	reglement	2010-04-01	in_force	0	23	23	1-23
VGR	173.320.1	cc-2008-320.md	andere	2023-06-01	in_force	0	40	42	1,3-15,17-21,23-42
VGS	935.511	cc-2018-796.md	verordnung	2024-01-01	in_force	0	131	131	1-131
VGSEB	734.6	cc-2016-19.md	verordnung	2023-01-01	in_force	0	25	25	1-25
VGV	814.621	cc-2000-299.md	verordnung	2022-01-01	in_force	0	23	23	1-23
VGVL	817.022.51	cc-2020-456.md	verordnung	2026-01-01	in_force	0	15	15	1-15
VGWR	431.841	cc-2017-376.md	verordnung	2025-06-01	in_force	0	21	21	1-21
VGeK	281.52	cc-54-15_15_25.md	verordnung	1997-01-01	in_force	0	26	26	1-26
VHBT	730.010.2	cc-2024-690.md	verordnung	2025-06-01	in_force	0	10	12	1-6,8,10-12
VHIS	172.019.2	cc-2025-511.md	andere	2025-07-01	in_force	0	37	38	2-38
VHK	817.022.15	cc-2017-156.md	verordnung	2026-02-25	in_force	0	9	9	1-9
VHyMP	916.351.021.1	cc-2005-824.md	verordnung	2024-02-01	in_force	0	24	27	2-7,9-20,22-27
VHyPrP	916.020.1	cc-2005-821.md	verordnung	2025-01-01	in_force	0	7	7	1-7
VHyS	817.190.1	cc-2005-816.md	verordnung	2024-02-01	in_force	0	12	14	3-14
VID	784.104.2	cc-2014-701.md	verordnung	2024-01-01	in_force	0	29	30	1-14,16-30
VIL	748.131.1	cc-1994-3050_3050_3050.md	verordnung	2026-07-01	in_force	0	21	26	1,4-7,9-17,19-23,25-26
VILB	172.010.21	cc-2008-857.md	verordnung	2025-05-01	in_force	0	8	9	1-4,6-9
VIM	946.202.3	cc-2020-1039.md	verordnung	2021-07-01	in_force	0	8	8	1-8
VIMK	510.215	cc-2009-425.md	verordnung	2024-01-01	in_force	0	8	8	1-8
VIMK	510.81	cc-2024-685.md	verordnung	2025-01-01	in_force	0	18	18	1-18
VIPaV	946.513.8	cc-2010-350.md	verordnung	2025-12-01	in_force	0	2	2	1-2
VIS-NDB	121.2	cc-2017-496.md	verordnung	2024-01-01	in_force	0	75	75	1-75
VISOS	451.12	cc-2019-673.md	verordnung	2025-05-01	in_force	0	15	15	1-15
VISV	142.512	cc-2014-2.md	verordnung	2025-01-01	in_force	0	9	10	1-5,7-10
VITH	812.214.31	cc-2019-273.md	verordnung	2020-01-01	in_force	0	13	13	1-13
VIVS	451.13	cc-2010-227.md	verordnung	2017-06-01	in_force	0	14	14	1-14
VIZBM	414.513	cc-2015-659.md	verordnung	2021-01-01	in_force	0	36	30	1-30
VIZMB	414.513	cc-2022-165.md	verordnung	2024-01-01	in_force	0	37	37	1-37
VIntA	142.205	cc-2018-511.md	verordnung	2025-12-01	in_force	0	31	31	1-31
VJAR-FCL	748.222.2	cc-1999-218.md	verordnung	2012-05-15	in_force	0	17	229	1-3,5-14,229
VJAR-FSTD	748.222.4	cc-2003-194.md	verordnung	2012-05-15	in_force	0	5	7	2,4-7
VKA	974.03	cc-2001-415.md	verordnung	2018-11-01	in_force	0	18	20	1-13,15-16,18-20
VKHBK	444.21	cc-2026-51.md	verordnung	2026-03-01	in_force	0	13	13	1-13
VKKG	221.214.11	cc-2002-594.md	verordnung	2021-07-01	in_force	0	8	11	2-5,8-11
VKKL	910.15	cc-2018-673.md	verordnung	2026-01-01	in_force	0	11	11	1-11
VKKP	520.312	cc-2017-693.md	verordnung	2018-01-01	in_force	0	10	10	1-10
VKL	832.104	cc-2002-418.md	verordnung	2025-06-01	in_force	0	17	17	1-17
VKNS	732.16	cc-2008-793.md	verordnung	2014-01-01	in_force	0	20	20	1-20
VKOVA	520.16	cc-2024-342.md	verordnung	2026-01-01	in_force	0	25	25	1-25
VKOVE	520.16	cc-2016-305.md	verordnung	2016-07-01	in_force	0	9	9	1-9
VKP	642.119.2	cc-2025-579.md	verordnung	2026-01-01	in_force	0	5	6	1-2,4-6
VKP-KMU	172.091	cc-2007-18.md	verordnung	2022-01-01	in_force	0	16	16	1-16
VKSD	501.31	cc-2005-345.md	verordnung	2023-04-01	in_force	0	14	16	1-5,7-12,14-16
VKSD	520.151	cc-2025-201.md	verordnung	2025-05-01	in_force	0	13	13	1-13
VKSWk	730.014.1	cc-2016-168.md	verordnung	2018-01-01	in_force	0	7	7	1-7
VKUV	741.512.2	cc-2026-27.md	verordnung	2027-01-01	in_force	0	8	11	1-3,7-11
VKV-FINMA	961.015.2	cc-2012-707.md	verordnung	2013-01-01	in_force	0	42	42	1-42
VKVöV	741.016	cc-2024-549.md	verordnung	2025-04-01	in_force	0	7	7	1-7
VKZ	748.216.1	cc-1984-1179_1179_1179.md	verordnung	2011-04-01	in_force	0	12	14	2-5,8-14
VKos	817.023.31	cc-2017-165.md	verordnung	2026-01-01	in_force	0	2	2	1-2
VLBE	817.022.104	cc-2017-180.md	verordnung	2026-01-01	in_force	0	14	14	1-14
VLE	742.144.1	cc-2015-890.md	verordnung	2020-01-01	in_force	0	16	17	1-3,5-17
VLF	915.7	cc-2024-652.md	verordnung	2025-01-01	in_force	0	18	18	1-18
VLHb	748.127.5	cc-1988-541_541_541.md	verordnung	2025-04-01	in_force	0	14	24	4-8,10-15,18,21,24
VLIb	748.127.4	cc-2004-206.md	verordnung	2025-04-01	in_force	0	28	28	1-28
VLIp	748.127.2	cc-2000-385.md	verordnung	2025-04-01	in_force	0	32	32	1-32
VLK	748.941	cc-2022-802.md	verordnung	2024-08-01	in_force	0	42	44	1-13,15-24,26-44
VLKA	817.45	cc-1998-236_236_236.md	verordnung	2014-01-01	in_force	0	9	10	1-7,9-10
VLL	748.215.1	cc-1995-4897_4897_4897.md	verordnung	2025-04-01	in_force	0	38	55	1-2,6,9-10,12,14,16-17,19-22,25-27,29-36,38-39,41,48-55
VLpH	817.022.17	cc-2017-181.md	verordnung	2026-01-01	in_force	0	125	125	1-125
VLtH	817.022.108	cc-2017-152.md	verordnung	2024-02-01	in_force	0	106	106	1-106
VLvM	812.213.6	cc-2006-560.md	verordnung	2006-10-01	in_force	0	2	2	1-2
VMAP	783.016.2	cc-2018-614.md	verordnung	2023-07-01	in_force	0	4	4	1-4
VMBM	511.12	cc-2004-748.md	verordnung	2023-04-01	in_force	0	11	18	1,4-5,8-11,15-18
VMD	935.011	cc-2013-510.md	verordnung	2023-09-01	in_force	0	18	18	1-18
VMDP	512.21	cc-2017-810.md	verordnung	2025-11-01	in_force	0	46	47	1-11,13-47
VMILAK	414.131.1	cc-2017-532.md	verordnung	2017-10-01	in_force	0	16	16	1-16
VMS	513.61	cc-2018-730.md	verordnung	2024-01-01	in_force	0	15	15	1-15
VMSV	510.710	cc-2004-108.md	verordnung	2025-01-01	in_force	0	65	92	1,4-5,7,9-16,19-21,23,25,27-31,33-38,40-47,49-58,64,66-69,71-77,81-82,85,89-92
VMSch	510.755	cc-2006-150.md	verordnung	2023-08-04	in_force	0	29	29	1-29
VMWG	221.213.11	cc-1990-835_835_835.md	verordnung	2025-10-01	in_force	0	24	27	1-13,15-16,18-21,23-27
VMob	519.2	cc-2017-815.md	verordnung	2023-01-01	in_force	0	17	17	1-17
VNEF	414.711.5	cc-2000-361.md	verordnung	2025-02-01	in_force	0	0	0	-
VNEK	810.113	cc-2000-556.md	verordnung	2012-01-01	in_force	0	15	15	1-15
VNF	784.102.1	cc-2020-1024.md	verordnung	2024-01-01	in_force	0	64	64	1-64
VNem	817.022.14	cc-2017-155.md	verordnung	2024-02-01	in_force	0	7	7	1-7
VOCV	814.018	cc-1997-2972_2972_2972.md	verordnung	2024-01-01	in_force	0	19	25	1-3,6,8,10-20,22,24-25
VOD	513.71	cc-1997-2141_2141_2141.md	verordnung	1997-10-01	in_force	0	11	11	1-11
VOEW	531.35	cc-2017-316.md	verordnung	2026-01-01	in_force	0	7	7	1-7
VOGW	531.81	cc-2022-278.md	verordnung	2026-01-01	in_force	0	7	7	1-7
VORA	832.112.1	cc-2016-674.md	verordnung	2025-01-01	in_force	0	19	19	1-19
VORA-EDI	832.112.11	cc-2019-618.md	verordnung	2027-01-01	in_force	0	6	6	1-6
VOSA	822.411	cc-2007-72.md	verordnung	2023-09-01	in_force	0	11	11	1-11
VPA	510.32	cc-1995-40_40_40.md	verordnung	2023-01-01	in_force	0	20	20	1-20
VPABP	172.220.111.35	cc-2013-154.md	verordnung	2022-07-01	in_force	0	7	11	3-4,7-11
VPAV	281.51	cc-26-205_203_198.md	verordnung	1997-01-01	in_force	0	23	23	1-23
VPB	745.11	cc-2009-739.md	verordnung	2025-01-01	in_force	0	75	85	1-10,13,16-21,23-24,26-29,31-46,48-54,57-85
VPEV	918.1	cc-2024-654.md	verordnung	2025-01-01	in_force	0	12	13	1,3-13
VPG	783.01	cc-2012-586.md	andere	2026-04-01	in_force	0	84	84	1-84
VPGA	142.316	cc-2017-687.md	verordnung	2026-07-01	in_force	0	30	30	1-30
VPGS	741.512.1	cc-2025-336.md	verordnung	2025-06-15	in_force	0	12	12	1-12
VPO ETH	172.220.142	cc-2007-614.md	verordnung	2009-01-01	in_force	0	6	6	1-6
VPOB	172.220.141	cc-2007-312.md	verordnung	2008-07-01	in_force	0	8	7	1-7
VPOG	783.11	cc-2012-721.md	andere	2012-12-01	in_force	0	8	8	1-8
VPR	161.11	cc-1978-712_712_712.md	verordnung	2027-07-01	in_force	0	20	30	1,3-6,8-14,18-21,23,26,29-30
VPRG	171.211	cc-1988-1166_1166_1166.md	verordnung	2023-12-04	in_force	0	0	0	-
VPRH	817.021.23	cc-2017-151.md	verordnung	2026-01-01	in_force	0	14	14	1-14
VPS	935.411	cc-2015-451.md	verordnung	2023-09-01	in_force	0	19	19	1-19
VPSP	128.31	cc-2023-736.md	verordnung	2025-11-01	in_force	0	38	38	1-38
VPV	211.423.1	cc-33-913_943_962.md	verordnung	2008-01-01	in_force	0	30	48	1-2,6-28,33-36,48
VPVE	742.142.1	cc-2000-124.md	verordnung	2026-07-01	in_force	0	11	12	1-2,4-12
VPVK	832.112.4	cc-2025-581.md	verordnung	2026-01-01	in_force	0	25	27	1-14,17-27
VPVKEU	832.112.5	cc-2002-164.md	verordnung	2026-01-01	in_force	0	18	20	1-6,8-18,20
